Station,Latitude,Longitude,Date,Time,Parameter,Result,Units,Rainfall in Last 24 hours,Tide Stage,Weather,Wind/Current Direction
CH1,32.754981,-79.916121,2017-08-23,0905,Enterococci,72,MPN/100 mL,0.00,3/4 flood,cloud,calm
CH1,32.754981,-79.916121,2017-09-06,0910,Enterococci,852,MPN/100 mL,0.98,1/4 ebb,cloud,calm
CH1,32.754981,-79.916121,2017-09-14,0916,Enterococci,191,MPN/100 mL,0.00,ebb,fair,SW
CH1,32.754981,-79.916121,2017-09-20,0912,Enterococci,62,MPN/100 mL,0.00,flood,fair,W
CH1,32.754981,-79.916121,2017-09-27,0857,Enterococci,84,MPN/100 mL,0.00,1/4 flood,clear,NW
CH1,32.754981,-79.916121,2017-10-04,0855,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,NE
CH1,32.754981,-79.916121,2017-10-11,0917,Enterococci,85,MPN/100 mL,0.00,1/4 flood,clear,calm
CH1,32.754981,-79.916121,2017-10-18,0910,Enterococci,85,MPN/100 mL,0.00,flood,clear,N
CH1,32.754981,-79.916121,2017-10-25,0841,Enterococci,168,MPN/100 mL,0.00,1/4 flood,clear,NW
CH1,32.754981,-79.916121,2018-05-02,0917,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
CH1,32.754981,-79.916121,2018-05-09,0926,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
CH1,32.754981,-79.916121,2018-05-16,0933,Enterococci,20,MPN/100 mL,0.01,full flood,fair,S
CH1,32.754981,-79.916121,2018-05-23,0913,Enterococci,20,MPN/100 mL,0.00,full ebb,fair,SW
CH1,32.754981,-79.916121,2018-05-30,0950,Enterococci,10,MPN/100 mL,0.58,full flood,cloud,S
CH1,32.754981,-79.916121,2018-06-06,0945,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,N
CH1,32.754981,-79.916121,2018-06-13,0926,Enterococci,20,MPN/100 mL,0.11,1/4 ebb,fair,calm
CH1,32.754981,-79.916121,2018-06-20,1020,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,W
CH1,32.754981,-79.916121,2018-06-27,0944,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,fair,calm
CH1,32.754981,-79.916121,2018-07-02,0923,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,calm
CH1,32.754981,-79.916121,2018-07-11,0926,Enterococci,30,MPN/100 mL,0.00,1/2 ebb,clear,W
CH1,32.754981,-79.916121,2018-07-18,0958,Enterococci,31,MPN/100 mL,0.26,1/4 flood,fair,W
CH1,32.754981,-79.916121,2018-07-25,0942,Enterococci,130,MPN/100 mL,0.07,1/2 ebb,fair,SW
CH1,32.754981,-79.916121,2018-08-01,0934,Enterococci,108,MPN/100 mL,0.42,3/4 flood,cloud,SW
CH1,32.754981,-79.916121,2018-08-08,0913,Enterococci,31,MPN/100 mL,0.00,1/2 ebb,clear,SW
CH1,32.754981,-79.916121,2018-08-15,0947,Enterococci,72,MPN/100 mL,0.22,3/4 flood,clear,calm
CH1,32.754981,-79.916121,2018-08-22,0938,Enterococci,31,MPN/100 mL,0.00,1/2 ebb,fair,SW
CH1,32.754981,-79.916121,2018-08-29,0948,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,S
CH1,32.754981,-79.916121,2018-09-05,0937,Enterococci,75,MPN/100 mL,0.00,3/4 ebb,fair,E
CH1,32.754981,-79.916121,2018-09-19,1032,Enterococci,51,MPN/100 mL,0.00,full ebb,clear,N
CH1,32.754981,-79.916121,2018-09-26,0845,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,NW
CH1,32.754981,-79.916121,2018-10-03,1001,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,NW
CH1,32.754981,-79.916121,2018-10-12,0942,Enterococci,41,MPN/100 mL,0.00,3/4 flood,clear,NW
CH1,32.754981,-79.916121,2018-10-17,0946,Enterococci,10,MPN/100 mL,0.00,1/4 flood,cloud,NW
CH1,32.754981,-79.916121,2018-10-24,1020,Enterococci,96,MPN/100 mL,0.00,1/4 ebb,clear,N
CH1,32.754981,-79.916121,2018-10-31,0954,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,calm
CH1,32.754981,-79.916121,2019-05-08,1000,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,E
CH1,32.754981,-79.916121,2019-05-15,0935,Enterococci,134,MPN/100 mL,0.00,1/2 ebb,clear,N
CH1,32.754981,-79.916121,2019-05-22,0924,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,E
CH1,32.754981,-79.916121,2019-05-29,0925,Enterococci,31,MPN/100 mL,0.00,3/4 ebb,clear,calm
CH1,32.754981,-79.916121,2019-06-05,0945,Enterococci,10,MPN/100 mL,0.05,full flood,cloud,S
CH1,32.754981,-79.916121,2019-06-19,0902,Enterococci,10,MPN/100 mL,0.00,3/4 flood,cloud,SW
CH1,32.754981,-79.916121,2019-06-26,0842,Enterococci,41,MPN/100 mL,0.00,full ebb,clear,N
CH1,32.754981,-79.916121,2019-07-01,0847,Enterococci,74,MPN/100 mL,0.00,full flood,clear,NW
CH1,32.754981,-79.916121,2019-07-10,0900,Enterococci,98,MPN/100 mL,0.02,full ebb,cloud,E
CH1,32.754981,-79.916121,2019-07-17,0900,Enterococci,52,MPN/100 mL,0.00,full flood,clear,SW
CH1,32.754981,-79.916121,2019-08-07,0840,Enterococci,30,MPN/100 mL,0.00,full ebb,clear,calm
CH1,32.754981,-79.916121,2019-08-14,0850,Enterococci,20,MPN/100 mL,0.00,full flood,cloud,SW
CH1,32.754981,-79.916121,2019-08-28,0849,Enterococci,41,MPN/100 mL,0.00,1/4 ebb,cloud,SW
CH1,32.754981,-79.916121,2019-09-11,0905,Enterococci,63,MPN/100 mL,0.02,1/2 ebb,fair,NE
CH1,32.754981,-79.916121,2019-09-18,0906,Enterococci,10,MPN/100 mL,0.00,1/2 flood,cloud,N
CH1,32.754981,-79.916121,2019-09-25,0856,Enterococci,259,MPN/100 mL,0.00,3/4 ebb,fair, SW
CH1,32.754981,-79.916121,2019-10-02,0910,Enterococci,30,MPN/100 mL,0.00,3/4 flood,clear,calm
CH1,32.754981,-79.916121,2019-10-09,0939,Enterococci,197,MPN/100 mL,0.00,3/4 ebb,cloud,NE
CH1,32.754981,-79.916121,2019-10-17,1009,Enterococci,10,MPN/100 mL,0.07,full flood,fair,N
CH1,32.754981,-79.916121,2019-10-23,1002,Enterococci,31,MPN/100 mL,0.00,full ebb,clear,N
CH1,32.754981,-79.916121,2019-10-30,1016,Enterococci,20,MPN/100 mL,0.00,full flood,cloud,N
CH1B,32.755951,-79.917568,2019-06-13,0940,Enterococci,109,MPN/100 mL,3.24,3/4 ebb,cloud,SW
CH1B,32.755951,-79.917568,2019-07-24,0928,Enterococci,109,MPN/100 mL,1.12,1/4 flood,cloud,N
CH2,32.790083,-79.911000,2017-05-03,1035,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,N
CH2,32.790083,-79.911000,2017-05-10,0920,Enterococci,10,MPN/100 mL,0.00,flood,clear,NW
CH2,32.790083,-79.911000,2017-05-17,0948,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,SW
CH2,32.790083,-79.911000,2017-05-24,0926,Enterococci,135,MPN/100 mL,3.10,1/4 ebb,fair,SW
CH2,32.790083,-79.911000,2017-05-31,0939,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,calm
CH2,32.790083,-79.911000,2017-06-07,0855,Enterococci,63,MPN/100 mL,3.25,1/4 ebb,rain,NE
CH2,32.790083,-79.911000,2017-06-14,1000,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
CH2,32.790083,-79.911000,2017-06-21,0953,Enterococci,10,MPN/100 mL,0.65,1/2 ebb,cloud,SW
CH2,32.790083,-79.911000,2017-06-28,0940,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,NE
CH2,32.790083,-79.911000,2017-07-05,1027,Enterococci,30,MPN/100 mL,0.00,3/4 ebb,clear,SW
CH2,32.790083,-79.911000,2017-07-12,0940,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
CH2,32.790083,-79.911000,2017-07-19,1005,Enterococci,10,MPN/100 mL,0.00,ebb,clear,calm
CH2,32.790083,-79.911000,2017-07-26,0924,Enterococci,73,MPN/100 mL,0.08,1/2 flood,cloud,NE
CH2,32.790083,-79.911000,2017-08-02,0933,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,calm
CH2,32.790083,-79.911000,2017-08-09,0915,Enterococci,30,MPN/100 mL,0.34,3/4 flood,cloud,W
CH2,32.790083,-79.911000,2017-08-16,1012,Enterococci,10,MPN/100 mL,0.00,ebb,clear,W
CH2,32.790083,-79.911000,2017-08-23,0955,Enterococci,31,MPN/100 mL,0.00,flood,fair,calm
CH2,32.790083,-79.911000,2017-08-30,0901,Enterococci,155,MPN/100 mL,0.00,ebb,cloud,NE
CH2,32.790083,-79.911000,2017-09-14,1105,Enterococci,62,MPN/100 mL,0.00,1/4 flood,fair,SW
CH2,32.790083,-79.911000,2017-09-20,1012,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,fair,SW
CH2,32.790083,-79.911000,2017-09-27,0945,Enterococci,31,MPN/100 mL,0.00,1/2 flood,clear,NW
CH2,32.790083,-79.911000,2017-10-04,0946,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,NE
CH2,32.790083,-79.911000,2017-10-11,1020,Enterococci,52,MPN/100 mL,0.00,1/2 flood,cloud,calm
CH2,32.790083,-79.911000,2017-10-18,1000,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,NE
CH2,32.790083,-79.911000,2017-10-25,0927,Enterococci,171,MPN/100 mL,0.00,1/2 flood,clear,NW
CH2,32.790083,-79.911000,2018-05-02,0942,Enterococci,10,MPN/100 mL,0.00,full flood,clear,S
CH2,32.790083,-79.911000,2018-05-09,0920,Enterococci,10,MPN/100 mL,0.00,full ebb,fair,WNW
CH2,32.790083,-79.911000,2018-05-16,0940,Enterococci,10,MPN/100 mL,0.01,full flood,cloud,S
CH2,32.790083,-79.911000,2018-05-23,0925,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair,S
CH2,32.790083,-79.911000,2018-06-06,0935,Enterococci,10,MPN/100 mL,0.00,full ebb,fair,SW
CH2,32.790083,-79.911000,2018-06-13,0940,Enterococci,30,MPN/100 mL,0.11,1/2 ebb,cloud,NW
CH2,32.790083,-79.911000,2018-06-20,0942,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,S
CH2,32.790083,-79.911000,2018-06-27,0955,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,fair,NE
CH2,32.790083,-79.911000,2018-07-02,0927,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,W
CH2,32.790083,-79.911000,2018-07-11,0900,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,fair,SW
CH2,32.790083,-79.911000,2018-07-18,1032,Enterococci,10,MPN/100 mL,0.26,1/2 flood,cloud,W
CH2,32.790083,-79.911000,2018-07-25,0940,Enterococci,5172,MPN/100 mL,0.07,1/2 ebb,cloud,calm
CH2,32.790083,-79.911000,2018-08-01,0937,Enterococci,20,MPN/100 mL,0.42,3/4 flood,fair,SW
CH2,32.790083,-79.911000,2018-08-08,0938,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,SW
CH2,32.790083,-79.911000,2018-08-15,0940,Enterococci,30,MPN/100 mL,0.22,1/2 flood,cloud,calm
CH2,32.790083,-79.911000,2018-08-22,0945,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,fair,SW
CH2,32.790083,-79.911000,2018-08-29,0935,Enterococci,10,MPN/100 mL,0.00,full flood,clear,calm
CH2,32.790083,-79.911000,2018-09-05,0934,Enterococci,10,MPN/100 mL,0.00,full ebb,fair,NE
CH2,32.790083,-79.911000,2018-09-19,0952,Enterococci,118,MPN/100 mL,0.00,full ebb,clear,N
CH2,32.790083,-79.911000,2018-09-26,0940,Enterococci,10,MPN/100 mL,0.00,full flood,clear,NW
CH2,32.790083,-79.911000,2018-10-03,0943,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
CH2,32.790083,-79.911000,2018-10-12,0932,Enterococci,97,MPN/100 mL,0.00,3/4 flood,clear,NW
CH2,32.790083,-79.911000,2018-10-17,1018,Enterococci,20,MPN/100 mL,0.00,1/4 flood,cloud,W
CH2,32.790083,-79.911000,2018-10-24,1002,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,N
CH2,32.790083,-79.911000,2018-10-31,0950,Enterococci,20,MPN/100 mL,0.00,1/2 flood,clear,N
CH2,32.790083,-79.911000,2019-05-08,0920,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,E/SE
CH2,32.790083,-79.911000,2019-05-15,0950,Enterococci,20,MPN/100 mL,0.00,1/2 ebb,clear,NE
CH2,32.790083,-79.911000,2019-05-22,1000,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,SE
CH2,32.790083,-79.911000,2019-05-29,0936,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,W
CH2,32.790083,-79.911000,2019-06-05,0943,Enterococci,20,MPN/100 mL,0.05,full flood,cloud,SE
CH2,32.790083,-79.911000,2019-06-13,0920,Enterococci,169,MPN/100 mL,3.24,1/2 ebb,cloud,SW
CH2,32.790083,-79.911000,2019-06-19,0952,Enterococci,10,MPN/100 mL,0.00,3/4 flood,cloud,SW
CH2,32.790083,-79.911000,2019-06-26,0922,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
CH2,32.790083,-79.911000,2019-07-01,0924,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,clear,NW
CH2,32.790083,-79.911000,2019-07-10,0934,Enterococci,52,MPN/100 mL,0.02,full ebb,cloud,E
CH2,32.790083,-79.911000,2019-07-17,0940,Enterococci,41,MPN/100 mL,0.00,1/4 ebb,clear,calm
CH2,32.790083,-79.911000,2019-08-07,0918,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,W
CH2,32.790083,-79.911000,2019-08-14,0933,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,SW
CH2,32.790083,-79.911000,2019-08-28,0927,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,cloud,calm
CH2,32.790083,-79.911000,2019-09-11,0939,Enterococci,10,MPN/100 mL,0.02,1/2 ebb,fair,NE
CH2,32.790083,-79.911000,2019-09-18,0945,Enterococci,30,MPN/100 mL,0.00,3/4 flood,cloud,N
CH2,32.790083,-79.911000,2019-09-25,0948,Enterococci,51,MPN/100 mL,0.00,3/4 ebb,fair, SW
CH2,32.790083,-79.911000,2019-10-02,0947,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
CH2,32.790083,-79.911000,2019-10-09,0947,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,cloud,N
CH2,32.790083,-79.911000,2019-10-17,0951,Enterococci,31,MPN/100 mL,0.07,3/4 flood,fair,W
CH2,32.790083,-79.911000,2019-10-23,0937,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair,NW
CH2,32.790083,-79.911000,2019-10-30,0953,Enterococci,10,MPN/100 mL,0.00,full flood,fair,
CH3,32.771617,-79.924733,2017-05-03,0929,Enterococci,119,MPN/100 mL,0.00,ebb,clear,NW
CH3,32.771617,-79.924733,2017-05-10,0849,Enterococci,10,MPN/100 mL,0.00,flood,clear,NW
CH3,32.771617,-79.924733,2017-05-17,0845,Enterococci,118,MPN/100 mL,0.00,1/4 flood,fair,SW
CH3,32.771617,-79.924733,2017-05-24,0848,Enterococci,52,MPN/100 mL,3.10,1/4 ebb,fair,SW
CH3,32.771617,-79.924733,2017-05-31,0848,Enterococci,109,MPN/100 mL,0.00,ebb,fair,calm
CH3,32.771617,-79.924733,2017-06-07,0849,Enterococci,41,MPN/100 mL,3.25,1/4 ebb,rain,NE
CH3,32.771617,-79.924733,2017-06-14,0919,Enterococci,20,MPN/100 mL,0.00,1/4 flood,fair,SW
CH3,32.771617,-79.924733,2017-06-21,0903,Enterococci,223,MPN/100 mL,0.65,1/4 ebb,cloud,SW
CH3,32.771617,-79.924733,2017-06-28,0850,Enterococci,122,MPN/100 mL,0.00,1/2 flood,clear,NE
CH3,32.771617,-79.924733,2017-07-05,0948,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,SW
CH3,32.771617,-79.924733,2017-07-12,0850,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,calm
CH3,32.771617,-79.924733,2017-07-19,0912,Enterococci,84,MPN/100 mL,0.00,3/4 ebb,clear,calm
CH3,32.771617,-79.924733,2017-07-26,1000,Enterococci,20,MPN/100 mL,0.08,3/4 flood,fair,NE
CH3,32.771617,-79.924733,2017-08-02,0848,Enterococci,20,MPN/100 mL,0.00, 3/4 ebb,clear,calm
CH3,32.771617,-79.924733,2017-08-09,0839,Enterococci,10,MPN/100 mL,0.34,3/4 flood,cloud,W
CH3,32.771617,-79.924733,2017-08-16,0920,Enterococci,173,MPN/100 mL,0.00,ebb,clear,W
CH3,32.771617,-79.924733,2017-08-23,0912,Enterococci,30,MPN/100 mL,0.00,3/4 flood,cloud,calm
CH3,32.771617,-79.924733,2017-08-30,0955,Enterococci,156,MPN/100 mL,0.00,ebb,cloud,NE
CH3,32.771617,-79.924733,2017-09-06,0830,Enterococci,131,MPN/100 mL,0.98,flood,rain,SW
CH3,32.771617,-79.924733,2017-09-14,1012,Enterococci,296,MPN/100 mL,0.00,ebb,fair,SW
CH3,32.771617,-79.924733,2017-09-20,0922,Enterococci,10,MPN/100 mL,0.00,flood,fair,W
CH3,32.771617,-79.924733,2017-09-27,0904,Enterococci,73,MPN/100 mL,0.00,1/4 flood,clear,NW
CH3,32.771617,-79.924733,2017-10-04,0904,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,NE
CH3,32.771617,-79.924733,2017-10-11,0930,Enterococci,74,MPN/100 mL,0.00,1/4 flood,fair,calm
CH3,32.771617,-79.924733,2017-10-18,0918,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,NE
CH3,32.771617,-79.924733,2017-10-25,0848,Enterococci,98,MPN/100 mL,0.00,1/4 flood,clear,NW
CH3,32.771617,-79.924733,2018-05-02,0857,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,S
CH3,32.771617,-79.924733,2018-05-09,0830,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair,WNW
CH3,32.771617,-79.924733,2018-05-16,0859,Enterococci,10,MPN/100 mL,0.01,full flood,cloud,S
CH3,32.771617,-79.924733,2018-05-23,0835,Enterococci,20,MPN/100 mL,0.00,3/4 ebb,fair,S
CH3,32.771617,-79.924733,2018-05-30,0806,Enterococci,2481,MPN/100 mL,0.58,3/4 flood,rain,calm
CH3,32.771617,-79.924733,2018-06-06,0901,Enterococci,83,MPN/100 mL,0.00,full ebb,fair,S
CH3,32.771617,-79.924733,2018-06-13,0848,Enterococci,20,MPN/100 mL,0.11,1/4 ebb,cloud,N
CH3,32.771617,-79.924733,2018-06-20,0857,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,S
CH3,32.771617,-79.924733,2018-06-27,0856,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,fair/cloud,NE
CH3,32.771617,-79.924733,2018-07-02,0844,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,calm
CH3,32.771617,-79.924733,2018-07-11,0945,Enterococci,20,MPN/100 mL,0.00,1/2 ebb,fair,SW
CH3,32.771617,-79.924733,2018-07-18,0954,Enterococci,20,MPN/100 mL,0.26,1/4 flood,cloud,SW
CH3,32.771617,-79.924733,2018-07-25,0900,Enterococci,158,MPN/100 mL,0.07,1/4 ebb,cloud,calm
CH3,32.771617,-79.924733,2018-08-01,0854,Enterococci,695,MPN/100 mL,0.42,3/4 flood,cloud,S
CH3,32.771617,-79.924733,2018-08-08,0851,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,SW
CH3,32.771617,-79.924733,2018-08-15,0858,Enterococci,96,MPN/100 mL,0.22,1/2 flood,cloud,calm
CH3,32.771617,-79.924733,2018-08-22,0900,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,fair,SW
CH3,32.771617,-79.924733,2018-08-29,0853,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
CH3,32.771617,-79.924733,2018-09-05,0848,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair,NE
CH3,32.771617,-79.924733,2018-09-19,0852,Enterococci,104,MPN/100 mL,0.00,3/4 ebb,clear,N
CH3,32.771617,-79.924733,2018-09-26,0855,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,NW
CH3,32.771617,-79.924733,2018-10-03,0859,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
CH3,32.771617,-79.924733,2018-10-12,0845,Enterococci,132,MPN/100 mL,0.00,1/2 flood,clear,NW
CH3,32.771617,-79.924733,2018-10-17,0930,Enterococci,122,MPN/100 mL,0.00,full ebb,cloud,W
CH3,32.771617,-79.924733,2018-10-24,0906,Enterococci,10,MPN/100 mL,0.00,full flood,clear,N
CH3,32.771617,-79.924733,2018-10-31,0905,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,N
CH3,32.771617,-79.924733,2019-05-08,1012,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,E/SE
CH3,32.771617,-79.924733,2019-05-15,0909,Enterococci,20,MPN/100 mL,0.00,1/2 ebb,clear,NE
CH3,32.771617,-79.924733,2019-05-22,0904,Enterococci,10,MPN/100 mL,0.00,3/4 flood,fair,SE
CH3,32.771617,-79.924733,2019-05-29,0846,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,W
CH3,32.771617,-79.924733,2019-06-05,0904,Enterococci,20,MPN/100 mL,0.05,full flood,cloud,SE
CH3,32.771617,-79.924733,2019-06-13,0846,Enterococci,345,MPN/100 mL,3.24,1/2 ebb,cloud,SW
CH3,32.771617,-79.924733,2019-06-19,1032,Enterococci,10,MPN/100 mL,0.00,full flood,cloud,SW
CH3,32.771617,-79.924733,2019-06-26,1017,Enterococci,20,MPN/100 mL,0.00,1/4 flood,clear,N
CH3,32.771617,-79.924733,2019-07-01,1008,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,NW
CH3,32.771617,-79.924733,2019-07-10,1004,Enterococci,452,MPN/100 mL,0.02,1/4 flood,cloud,NE
CH3,32.771617,-79.924733,2019-07-17,1015,Enterococci,52,MPN/100 mL,0.00,1/4 ebb,clear,calm
CH3,32.771617,-79.924733,2019-07-24,1040,Enterococci,132,MPN/100 mL,1.12,1/2 flood,cloud,N
CH3,32.771617,-79.924733,2019-08-07,1022,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,W
CH3,32.771617,-79.924733,2019-08-14,1014,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,SW
CH3,32.771617,-79.924733,2019-08-28,1010,Enterococci,20,MPN/100 mL,0.00,1/2 ebb,cloud,SW
CH3,32.771617,-79.924733,2019-09-11,1022,Enterococci,51,MPN/100 mL,0.02,1/2 ebb,cloud,NE
CH3,32.771617,-79.924733,2019-09-18,1043,Enterococci,20,MPN/100 mL,0.00,full flood,fair,N
CH3,32.771617,-79.924733,2019-09-25,1027,Enterococci,51,MPN/100 mL,0.00,3/4 ebb,fair, SW
CH3,32.771617,-79.924733,2019-10-02,1034,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,calm
CH3,32.771617,-79.924733,2019-10-09,0900,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,cloud,N
CH3,32.771617,-79.924733,2019-10-17,0904,Enterococci,10,MPN/100 mL,0.07,3/4 flood,fair,W
CH3,32.771617,-79.924733,2019-10-23,0852,Enterococci,30,MPN/100 mL,0.00,3/4 ebb,fair,NW
CH3,32.771617,-79.924733,2019-10-30,0855,Enterococci,20,MPN/100 mL,0.00,3/4 flood,cloud,N
FB1,32.660335,-79.943512,2017-05-03,0903,Enterococci,10,MPN/100 mL,0.00,ebb,clear,NW
FB1,32.660335,-79.943512,2017-05-10,0837,Enterococci,10,MPN/100 mL,0.00,flood,clear,W
FB1,32.660335,-79.943512,2017-05-17,0914,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,S
FB1,32.660335,-79.943512,2017-05-24,0854,Enterococci,121,MPN/100 mL,3.10,1/4 ebb,cloud,SW
FB1,32.660335,-79.943512,2017-05-31,0925,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
FB1,32.660335,-79.943512,2017-06-07,0858,Enterococci,10,MPN/100 mL,3.25,1/4 ebb,rain,NW
FB1,32.660335,-79.943512,2017-06-14,0917,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,W
FB1,32.660335,-79.943512,2017-06-21,0853,Enterococci,156,MPN/100 mL,0.65,1/2 ebb,cloud,SW
FB1,32.660335,-79.943512,2017-06-28,0902,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,E
FB1,32.660335,-79.943512,2017-07-05,0955,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,SW
FB1,32.660335,-79.943512,2017-07-12,0844,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,calm
FB1,32.660335,-79.943512,2017-07-19,0904,Enterococci,97,MPN/100 mL,0.00,ebb,clear,W
FB1,32.660335,-79.943512,2017-07-26,0855,Enterococci,30,MPN/100 mL,0.08,3/4 flood,cloud,calm
FB1,32.660335,-79.943512,2017-08-02,0850,Enterococci,63,MPN/100 mL,0.00,3/4 ebb,fair,E
FB1,32.660335,-79.943512,2017-08-09,0912,Enterococci,10,MPN/100 mL,0.34,flood,cloud,E
FB1,32.660335,-79.943512,2017-08-16,0854,Enterococci,10,MPN/100 mL,0.00,ebb,clear,W
FB1,32.660335,-79.943512,2017-08-23,0842,Enterococci,20,MPN/100 mL,0.00,3/4 flood,fair,SW
FB1,32.660335,-79.943512,2017-08-30,0921,Enterococci,158,MPN/100 mL,0.00,ebb,cloud,N
FB1,32.660335,-79.943512,2017-09-06,0940,Enterococci,10,MPN/100 mL,0.98,1/4 ebb,cloud,SE
FB1,32.660335,-79.943512,2017-09-14,0903,Enterococci,1850,MPN/100 mL,0.00,ebb,fair,SW
FB1,32.660335,-79.943512,2017-09-20,0915,Enterococci,10,MPN/100 mL,0.00,flood,fair,S
FB1,32.660335,-79.943512,2017-09-27,0916,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,NW
FB1,32.660335,-79.943512,2017-10-04,0913,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,clear,NE
FB1,32.660335,-79.943512,2017-10-11,0910,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,calm
FB1,32.660335,-79.943512,2017-10-18,0901,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,clear,N
FB1,32.660335,-79.943512,2017-10-25,0907,Enterococci,31,MPN/100 mL,0.00,1/4 flood,clear,W
FB1,32.660335,-79.943512,2018-05-02,0850,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,calm
FB1,32.660335,-79.943512,2018-05-09,0856,Enterococci,20,MPN/100 mL,0.00,3/4 ebb,clear,N
FB1,32.660335,-79.943512,2018-05-16,0902,Enterococci,20,MPN/100 mL,0.01,full flood,fair,S
FB1,32.660335,-79.943512,2018-05-23,0842,Enterococci,41,MPN/100 mL,0.00,3/4 ebb,fair,SW
FB1,32.660335,-79.943512,2018-05-30,0903,Enterococci,20,MPN/100 mL,0.58,full flood,cloud,S
FB1,32.660335,-79.943512,2018-06-06,0919,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,N
FB1,32.660335,-79.943512,2018-06-13,0900,Enterococci,30,MPN/100 mL,0.11,1/4 ebb,fair,calm
